"country" "District" "year" "n" "x" "Locus" "min_year" "nobs" "adj_year" "prev" "wt_med" "lrsmed"
"26" "Cambodia" "Pursat" 2016 52 48 "C580Y" 2007 11 9 0.923076923076923 3.69230769230769 2.484906649788
"27" "Cambodia" "Pursat" 2017 29 24 "C580Y" 2007 11 10 0.827586206896552 4.13793103448276 1.56861591791385
"28" "Cambodia" "Pursat" 2018 3 3 "C580Y" 2007 11 11 1 NA NA
"29" "Cambodia" "Ratanakiri" 2010 50 1 "C580Y" 2010 8 0 0.02 0.98 -3.89182029811063
"30" "Cambodia" "Ratanakiri" 2011 78 4 "C580Y" 2010 8 1 0.0512820512820513 3.7948717948718 -2.91777073208428
"31" "Cambodia" "Ratanakiri" 2012 27 2 "C580Y" 2010 8 2 0.0740740740740741 1.85185185185185 -2.52572864430826
"32" "Cambodia" "Ratanakiri" 2013 13 1 "C580Y" 2010 8 3 0.0769230769230769 0.923076923076923 -2.484906649788
"33" "Cambodia" "Ratanakiri" 2014 26 2 "C580Y" 2010 8 4 0.0769230769230769 1.84615384615385 -2.484906649788
"34" "Cambodia" "Ratanakiri" 2016 80 59 "C580Y" 2010 8 6 0.7375 15.4875 1.0330150061823
"35" "Cambodia" "Ratanakiri" 2017 73 59 "C580Y" 2010 8 7 0.808219178082192 11.3150684931507 1.43848011429046
"36" "Cambodia" "Ratanakiri" 2018 5 3 "C580Y" 2010 8 8 0.6 1.2 0.405465108108164
"37" "Cambodia" "Stueng Traeng" 2016 29 28 "C580Y" 2016 2 0 0.96551724137931 NA 3.33220451017521
"38" "Cambodia" "Stueng Traeng" 2017 21 20 "C580Y" 2016 2 1 0.952380952380952 NA 2.99573227355399
"39" "Laos" "Attapeu" 2011 59 0 "C580Y" 2017 2 -6 0 NA NA
"40" "Laos" "Attapeu" 2012 25 0 "C580Y" 2017 2 -5 0 NA NA
"41" "Laos" "Attapeu" 2017 65 24 "C580Y" 2017 2 0 0.369230769230769 NA -0.535518236356362
"42" "Laos" "Attapeu" 2018 54 31 "C580Y" 2017 2 1 0.574074074074074 NA 0.298492988555997
"43" "Laos" "Champasak" 2017 92 73 "C580Y" 2017 2 0 0.793478260869565 NA 1.34602046198195
"44" "Laos" "Champasak" 2018 113 62 "C580Y" 2017 2 1 0.548672566371681 NA 0.195308752320766
"45" "Laos" "Salavan" 2017 100 25 "C580Y" 2017 2 0 0.25 NA -1.09861228866811
"46" "Laos" "Salavan" 2018 42 12 "C580Y" 2017 2 1 0.285714285714286 NA -0.916290731874155
"47" "Laos" "Savannakhet" 2010 36 0 "C580Y" 2017 2 -7 0 NA NA
"48" "Laos" "Savannakhet" 2017 249 7 "C580Y" 2017 2 0 0.0281124497991968 NA -3.54302757710137
"49" "Laos" "Savannakhet" 2018 126 15 "C580Y" 2017 2 1 0.119047619047619 NA -2.00148000021012
"50" "Laos" "Sekong" 2015 7 2 "C580Y" 2015 1 0 0.285714285714286 NA -0.916290731874155
"51" "Laos" "Sekong" 2016 3 0 "C580Y" 2015 1 1 0 NA NA
"52" "Laos" "Sekong" 2017 12 0 "C580Y" 2015 1 2 0 NA NA
"53" "Laos" "Sekong" 2018 2 0 "C580Y" 2015 1 3 0 NA NA
"54" "Myanmar" "Kayin" 2015 1 0 "C580Y" 2016 2 -1 0 NA NA
"55" "Myanmar" "Kayin" 2016 366 7 "C580Y" 2016 2 0 0.0191256830601093 NA -3.93741223943297
"56" "Myanmar" "Kayin" 2017 254 7 "C580Y" 2016 2 1 0.0275590551181102 NA -3.56347818757266
"57" "Myanmar" "Rakhine" 2017 7 1 "C580Y" 2017 1 0 0.142857142857143 NA -1.79175946922805
"58" "Myanmar" "Tanintharyi" 2011 50 13 "C580Y" 2011 1 0 0.26 NA -1.04596855518269
"59" "Thailand" "Ranong" 2011 9 6 "C580Y" 2011 2 0 0.666666666666667 NA 0.693147180559945
"60" "Thailand" "Ranong" 2012 11 1 "C580Y" 2011 2 1 0.0909090909090909 NA -2.30258509299405
"61" "Thailand" "Sisakhet" 2011 5 3 "C580Y" 2011 6 0 0.6 1.2 0.405465108108164
"62" "Thailand" "Sisakhet" 2012 12 2 "C580Y" 2011 6 1 0.166666666666667 1.66666666666667 -1.6094379124341
"63" "Thailand" "Sisakhet" 2013 3 1 "C580Y" 2011 6 2 0.333333333333333 0.666666666666667 -0.693147180559945
"64" "Thailand" "Sisakhet" 2015 16 16 "C580Y" 2011 6 4 1 NA NA
"65" "Thailand" "Sisakhet" 2016 5 5 "C580Y" 2011 6 5 1 NA NA
"66" "Thailand" "Sisakhet" 2017 18 18 "C580Y" 2011 6 6 1 NA NA
"67" "Thailand" "Tak" 2001 35 0 "C580Y" 2011 5 -10 0 NA NA
"68" "Thailand" "Tak" 2002 50 0 "C580Y" 2011 5 -9 0 NA NA
"69" "Thailand" "Tak" 2003 76 0 "C580Y" 2011 5 -8 0 NA NA
"70" "Thailand" "Tak" 2004 74 0 "C580Y" 2011 5 -7 0 NA NA
"71" "Thailand" "Tak" 2005 48 0 "C580Y" 2011 5 -6 0 NA NA
"72" "Thailand" "Tak" 2006 2 0 "C580Y" 2011 5 -5 0 NA NA
"73" "Thailand" "Tak" 2007 27 0 "C580Y" 2011 5 -4 0 NA NA
"74" "Thailand" "Tak" 2008 261 0 "C580Y" 2011 5 -3 0 NA NA
"75" "Thailand" "Tak" 2009 16 0 "C580Y" 2011 5 -2 0 NA NA
"76" "Thailand" "Tak" 2010 14 0 "C580Y" 2011 5 -1 0 NA NA
"77" "Thailand" "Tak" 2011 47 5 "C580Y" 2011 5 0 0.106382978723404 4.46808510638298 -2.12823170584927
"78" "Thailand" "Tak" 2012 93 28 "C580Y" 2011 5 1 0.301075268817204 19.5698924731183 -0.842182759720433
"79" "Thailand" "Tak" 2013 111 57 "C580Y" 2011 5 2 0.513513513513513 27.7297297297297 0.0540672212702756
"80" "Thailand" "Tak" 2014 5 5 "C580Y" 2011 5 3 1 NA NA
"81" "Thailand" "Tak" 2015 9 3 "C580Y" 2011 5 4 0.333333333333333 2 -0.693147180559945
"82" "Thailand" "Tak" 2016 1 0 "C580Y" 2011 5 5 0 NA NA
"83" "Thailand" "Tak" 2017 1 0 "C580Y" 2011 5 6 0 NA NA
"84" "Vietnam" "Binh Phuoc" 2005 8 0 "C580Y" 2010 8 -5 0 NA NA
"85" "Vietnam" "Binh Phuoc" 2009 13 0 "C580Y" 2010 8 -1 0 NA NA
"86" "Vietnam" "Binh Phuoc" 2010 73 2 "C580Y" 2010 8 0 0.0273972602739726 1.94520547945205 -3.56953269648137
"87" "Vietnam" "Binh Phuoc" 2011 116 11 "C580Y" 2010 8 1 0.0948275862068965 9.95689655172414 -2.25606507735915
"88" "Vietnam" "Binh Phuoc" 2012 25 1 "C580Y" 2010 8 2 0.04 0.96 -3.17805383034795
"89" "Vietnam" "Binh Phuoc" 2014 5 4 "C580Y" 2010 8 4 0.8 0.8 1.38629436111989
"90" "Vietnam" "Binh Phuoc" 2015 41 34 "C580Y" 2010 8 5 0.829268292682927 5.80487804878049 1.58045037556085
"91" "Vietnam" "Binh Phuoc" 2016 61 56 "C580Y" 2010 8 6 0.918032786885246 4.59016393442623 2.41591377830105
"92" "Vietnam" "Binh Phuoc" 2017 83 77 "C580Y" 2010 8 7 0.927710843373494 5.56626506024096 2.55204595262563
"93" "Vietnam" "Binh Phuoc" 2018 201 194 "C580Y" 2010 8 8 0.965174129353234 6.75621890547264 3.32194801000802
"94" "Vietnam" "Dak Lak" 2017 91 87 "C580Y" 2017 2 0 0.956043956043956 NA 3.07961375753469
"95" "Vietnam" "Dak Lak" 2018 15 15 "C580Y" 2017 2 1 1 NA NA
"96" "Vietnam" "Dak Nong" 2017 45 43 "C580Y" 2017 2 0 0.955555555555556 NA 3.06805293513362
"97" "Vietnam" "Dak Nong" 2018 25 25 "C580Y" 2017 2 1 1 NA NA
"98" "Vietnam" "Gia Lai" 2015 34 20 "C580Y" 2015 4 0 0.588235294117647 8.23529411764706 0.356674943938732
"99" "Vietnam" "Gia Lai" 2016 5 3 "C580Y" 2015 4 1 0.6 1.2 0.405465108108164
"100" "Vietnam" "Gia Lai" 2017 181 113 "C580Y" 2015 4 2 0.624309392265193 42.4530386740331 0.507880113536234
"101" "Vietnam" "Gia Lai" 2018 110 93 "C580Y" 2015 4 3 0.845454545454545 14.3727272727273 1.69938614909704
"102" "Vietnam" "Khanh Hoa" 2014 21 7 "C580Y" 2014 2 0 0.333333333333333 NA -0.693147180559945
"103" "Vietnam" "Khanh Hoa" 2017 17 1 "C580Y" 2014 2 3 0.0588235294117647 NA -2.77258872223978
"104" "Vietnam" "Quang Tri" 2010 6 0 "C580Y" 2017 1 -7 0 NA NA
"105" "Vietnam" "Quang Tri" 2017 22 9 "C580Y" 2017 1 0 0.409090909090909 NA -0.367724780125317
"106" "Cambodia" "Battambang" 2008 20 14 "K13" 2008 2 0 0.7 NA 0.847297860387203
"107" "Cambodia" "Battambang" 2009 31 25 "K13" 2008 2 1 0.806451612903226 NA 1.42711635564015
"108" "Cambodia" "Pailin" 2007 3 2 "K13" 2007 9 0 0.666666666666667 0.666666666666667 0.693147180559945
"109" "Cambodia" "Pailin" 2008 24 20 "K13" 2007 9 1 0.833333333333333 3.33333333333333 1.6094379124341
"110" "Cambodia" "Pailin" 2009 13 11 "K13" 2007 9 2 0.846153846153846 1.69230769230769 1.70474809223843
"111" "Cambodia" "Pailin" 2010 10 10 "K13" 2007 9 3 1 NA NA
"112" "Cambodia" "Pailin" 2011 49 46 "K13" 2007 9 4 0.938775510204082 2.81632653061224 2.73002910782099
"113" "Cambodia" "Pailin" 2012 31 27 "K13" 2007 9 5 0.870967741935484 3.48387096774194 1.90954250488444
"114" "Cambodia" "Pailin" 2015 15 14 "K13" 2007 9 8 0.933333333333333 0.933333333333333 2.63905732961526
"115" "Cambodia" "Pailin" 2016 22 22 "K13" 2007 9 9 1 NA NA
"116" "Cambodia" "Pailin" 2017 24 22 "K13" 2007 9 10 0.916666666666667 1.83333333333333 2.39789527279837
"117" "Cambodia" "Preah Vihear" 2011 73 22 "K13" 2011 6 0 0.301369863013699 15.3698630136986 -0.84078317936601
"118" "Cambodia" "Preah Vihear" 2012 41 9 "K13" 2011 6 1 0.219512195121951 7.02439024390244 -1.26851132546351
"119" "Cambodia" "Preah Vihear" 2013 20 8 "K13" 2011 6 2 0.4 4.8 -0.405465108108164
"120" "Cambodia" "Preah Vihear" 2014 7 6 "K13" 2011 6 3 0.857142857142857 0.857142857142857 1.79175946922805
"121" "Cambodia" "Preah Vihear" 2015 3 2 "K13" 2011 6 4 0.666666666666667 0.666666666666667 0.693147180559945
"122" "Cambodia" "Preah Vihear" 2016 5 5 "K13" 2011 6 5 1 NA NA
"123" "Cambodia" "Pursat" 2007 26 11 "K13" 2007 11 0 0.423076923076923 6.34615384615384 -0.310154928303839
"124" "Cambodia" "Pursat" 2009 19 13 "K13" 2007 11 2 0.684210526315789 4.10526315789474 0.773189888233482
"125" "Cambodia" "Pursat" 2010 107 83 "K13" 2007 11 3 0.775700934579439 18.6168224299065 1.24078677744865
"126" "Cambodia" "Pursat" 2011 101 79 "K13" 2007 11 4 0.782178217821782 17.2079207920792 1.27840539910871
"127" "Cambodia" "Pursat" 2012 30 22 "K13" 2007 11 5 0.733333333333333 5.86666666666667 1.01160091167848
"128" "Cambodia" "Pursat" 2013 42 33 "K13" 2007 11 6 0.785714285714286 7.07142857142857 1.29928298413026
"129" "Cambodia" "Pursat" 2014 33 29 "K13" 2007 11 7 0.878787878787879 3.51515151515152 1.98100146886658
"130" "Cambodia" "Pursat" 2015 18 15 "K13" 2007 11 8 0.833333333333333 2.5 1.6094379124341
"131" "Cambodia" "Pursat" 2016 52 48 "K13" 2007 11 9 0.923076923076923 3.69230769230769 2.484906649788
"132" "Cambodia" "Pursat" 2017 29 27 "K13" 2007 11 10 0.931034482758621 1.86206896551724 2.60268968544438
"133" "Cambodia" "Pursat" 2018 3 3 "K13" 2007 11 11 1 NA NA
"134" "Cambodia" "Ratanakiri" 2010 50 1 "K13" 2010 8 0 0.02 0.98 -3.89182029811063
"135" "Cambodia" "Ratanakiri" 2011 78 4 "K13" 2010 8 1 0.0512820512820513 3.7948717948718 -2.91777073208428
"136" "Cambodia" "Ratanakiri" 2012 27 2 "K13" 2010 8 2 0.0740740740740741 1.85185185185185 -2.52572864430826
"137" "Cambodia" "Ratanakiri" 2013 13 1 "K13" 2010 8 3 0.0769230769230769 0.923076923076923 -2.484906649788
"138" "Cambodia" "Ratanakiri" 2014 26 3 "K13" 2010 8 4 0.115384615384615 2.65384615384615 -2.03688192726104
"139" "Cambodia" "Ratanakiri" 2016 80 60 "K13" 2010 8 6 0.75 15 1.09861228866811
"140" "Cambodia" "Ratanakiri" 2017 73 62 "K13" 2010 8 7 0.849315068493151 9.34246575342466 1.72923911224672
"141" "Cambodia" "Ratanakiri" 2018 5 3 "K13" 2010 8 8 0.6 1.2 0.405465108108164
"142" "Cambodia" "Stueng Traeng" 2016 29 28 "K13" 2016 2 0 0.96551724137931 NA 3.33220451017521
"143" "Cambodia" "Stueng Traeng" 2017 21 20 "K13" 2016 2 1 0.952380952380952 NA 2.99573227355399
"144" "Laos" "Attapeu" 2011 59 1 "K13" 2011 4 0 0.0169491525423729 0.983050847457627 -4.06044301054642
"145" "Laos" "Attapeu" 2012 25 1 "K13" 2011 4 1 0.04 0.96 -3.17805383034795
"146" "Laos" "Attapeu" 2017 65 25 "K13" 2011 4 6 0.384615384615385 15.3846153846154 -0.470003629245736
"147" "Laos" "Attapeu" 2018 54 39 "K13" 2011 4 7 0.722222222222222 10.8333333333333 0.955511445027436
"148" "Laos" "Champasak" 2017 92 75 "K13" 2017 2 0 0.815217391304348 NA 1.48427476948009
"149" "Laos" "Champasak" 2018 113 62 "K13" 2017 2 1 0.548672566371681 NA 0.195308752320766
"150" "Laos" "Salavan" 2017 100 33 "K13" 2017 2 0 0.33 NA -0.708185057924486
"151" "Laos" "Salavan" 2018 42 12 "K13" 2017 2 1 0.285714285714286 NA -0.916290731874155
"152" "Laos" "Savannakhet" 2010 36 0 "K13" 2017 2 -7 0 NA NA
"153" "Laos" "Savannakhet" 2017 249 7 "K13" 2017 2 0 0.0281124497991968 NA -3.54302757710137
"154" "Laos" "Savannakhet" 2018 126 15 "K13" 2017 2 1 0.119047619047619 NA -2.00148000021012
"155" "Laos" "Sekong" 2015 7 5 "K13" 2015 3 0 0.714285714285714 1.42857142857143 0.916290731874155
"156" "Laos" "Sekong" 2016 3 0 "K13" 2015 3 1 0 NA NA
"157" "Laos" "Sekong" 2017 12 9 "K13" 2015 3 2 0.75 2.25 1.09861228866811
"158" "Laos" "Sekong" 2018 2 1 "K13" 2015 3 3 0.5 0.5 0
"159" "Myanmar" "Bago" 2011 12 2 "K13" 2011 2 0 0.166666666666667 NA -1.6094379124341
"160" "Myanmar" "Bago" 2012 48 7 "K13" 2011 2 1 0.145833333333333 NA -1.76766191764899
"161" "Myanmar" "Bago" 2013 1 0 "K13" 2011 2 2 0 NA NA
"162" "Myanmar" "Bago" 2015 10 0 "K13" 2011 2 4 0 NA NA
"163" "Myanmar" "Bago" 2016 16 0 "K13" 2011 2 5 0 NA NA
"164" "Myanmar" "Bago" 2017 2 0 "K13" 2011 2 6 0 NA NA
"165" "Myanmar" "Kachin" 2013 11 9 "K13" 2013 2 0 0.818181818181818 NA 1.50407739677627
"166" "Myanmar" "Kachin" 2014 15 9 "K13" 2013 2 1 0.6 NA 0.405465108108164
"167" "Myanmar" "Kayin" 2015 1 0 "K13" 2016 2 -1 0 NA NA
"168" "Myanmar" "Kayin" 2016 366 101 "K13" 2016 2 0 0.275956284153005 NA -0.964609309144963
"169" "Myanmar" "Kayin" 2017 254 71 "K13" 2016 2 1 0.279527559055118 NA -0.946806275800106
"170" "Myanmar" "Mandalay" 2012 3 0 "K13" 2013 5 -1 0 NA NA
"171" "Myanmar" "Mandalay" 2013 54 18 "K13" 2013 5 0 0.333333333333333 12 -0.693147180559945
"172" "Myanmar" "Mandalay" 2014 17 5 "K13" 2013 5 1 0.294117647058824 3.52941176470588 -0.8754687373539
"173" "Myanmar" "Mandalay" 2015 14 2 "K13" 2013 5 2 0.142857142857143 1.71428571428571 -1.79175946922805
"174" "Myanmar" "Mandalay" 2016 20 2 "K13" 2013 5 3 0.1 1.8 -2.19722457733622
"175" "Myanmar" "Mandalay" 2017 6 4 "K13" 2013 5 4 0.666666666666667 1.33333333333333 0.693147180559945
"176" "Myanmar" "Rakhine" 2017 7 1 "K13" 2017 1 0 0.142857142857143 NA -1.79175946922805
"177" "Myanmar" "Sagaing" 2012 37 13 "K13" 2012 1 0 0.351351351351351 NA -0.613104472886409
"178" "Myanmar" "Shan" 2011 13 1 "K13" 2011 2 0 0.0769230769230769 NA -2.484906649788
"179" "Myanmar" "Shan" 2012 16 4 "K13" 2011 2 1 0.25 NA -1.09861228866811
"180" "Myanmar" "Tanintharyi" 2011 50 20 "K13" 2011 1 0 0.4 NA -0.405465108108164
"181" "Thailand" "Ranong" 2011 9 8 "K13" 2011 2 0 0.888888888888889 NA 2.07944154167984
"182" "Thailand" "Ranong" 2012 11 3 "K13" 2011 2 1 0.272727272727273 NA -0.980829253011726
"183" "Thailand" "Sisakhet" 2011 5 5 "K13" 2011 6 0 1 NA NA
"184" "Thailand" "Sisakhet" 2012 12 12 "K13" 2011 6 1 1 NA NA
"185" "Thailand" "Sisakhet" 2013 3 3 "K13" 2011 6 2 1 NA NA
"186" "Thailand" "Sisakhet" 2015 16 16 "K13" 2011 6 4 1 NA NA
"187" "Thailand" "Sisakhet" 2016 5 5 "K13" 2011 6 5 1 NA NA
"188" "Thailand" "Sisakhet" 2017 18 18 "K13" 2011 6 6 1 NA NA
"189" "Thailand" "Tak" 2001 35 0 "K13" 2003 11 -2 0 NA NA
"190" "Thailand" "Tak" 2002 50 0 "K13" 2003 11 -1 0 NA NA
"191" "Thailand" "Tak" 2003 76 2 "K13" 2003 11 0 0.0263157894736842 1.94736842105263 -3.61091791264422
"192" "Thailand" "Tak" 2004 74 0 "K13" 2003 11 1 0 NA NA
"193" "Thailand" "Tak" 2005 48 1 "K13" 2003 11 2 0.0208333333333333 0.979166666666667 -3.85014760171006
"194" "Thailand" "Tak" 2006 2 0 "K13" 2003 11 3 0 NA NA
"195" "Thailand" "Tak" 2007 27 1 "K13" 2003 11 4 0.037037037037037 0.962962962962963 -3.25809653802148
"196" "Thailand" "Tak" 2008 261 19 "K13" 2003 11 5 0.0727969348659004 17.6168582375479 -2.54449874699025
"197" "Thailand" "Tak" 2009 16 1 "K13" 2003 11 6 0.0625 0.9375 -2.70805020110221
"198" "Thailand" "Tak" 2010 14 0 "K13" 2003 11 7 0 NA NA
"199" "Thailand" "Tak" 2011 47 16 "K13" 2003 11 8 0.340425531914894 10.5531914893617 -0.661398482245365
"200" "Thailand" "Tak" 2012 93 51 "K13" 2003 11 9 0.548387096774194 23.0322580645161 0.194156014440957
"201" "Thailand" "Tak" 2013 111 77 "K13" 2003 11 10 0.693693693693694 23.5855855855856 0.817444897237523
"202" "Thailand" "Tak" 2014 5 5 "K13" 2003 11 11 1 NA NA
"203" "Thailand" "Tak" 2015 9 3 "K13" 2003 11 12 0.333333333333333 2 -0.693147180559945
"204" "Thailand" "Tak" 2016 1 0 "K13" 2003 11 13 0 NA NA
"205" "Thailand" "Tak" 2017 1 1 "K13" 2003 11 14 1 NA NA
"206" "Vietnam" "Binh Phuoc" 2005 8 4 "K13" 2005 10 0 0.5 2 0
"207" "Vietnam" "Binh Phuoc" 2009 13 3 "K13" 2005 10 4 0.230769230769231 2.30769230769231 -1.20397280432594
"208" "Vietnam" "Binh Phuoc" 2010 73 19 "K13" 2005 10 5 0.26027397260274 14.0547945205479 -1.04454506739783
"209" "Vietnam" "Binh Phuoc" 2011 116 44 "K13" 2005 10 6 0.379310344827586 27.3103448275862 -0.492476485097794
"210" "Vietnam" "Binh Phuoc" 2012 25 8 "K13" 2005 10 7 0.32 5.44 -0.75377180237638
"211" "Vietnam" "Binh Phuoc" 2014 5 5 "K13" 2005 10 9 1 NA NA
"212" "Vietnam" "Binh Phuoc" 2015 41 36 "K13" 2005 10 10 0.878048780487805 4.39024390243902 1.97408102602201
"213" "Vietnam" "Binh Phuoc" 2016 61 56 "K13" 2005 10 11 0.918032786885246 4.59016393442623 2.41591377830105
"214" "Vietnam" "Binh Phuoc" 2017 83 77 "K13" 2005 10 12 0.927710843373494 5.56626506024096 2.55204595262563
"215" "Vietnam" "Binh Phuoc" 2018 201 194 "K13" 2005 10 13 0.965174129353234 6.75621890547264 3.32194801000802
"216" "Vietnam" "Dak Lak" 2017 91 87 "K13" 2017 2 0 0.956043956043956 NA 3.07961375753469
"217" "Vietnam" "Dak Lak" 2018 15 15 "K13" 2017 2 1 1 NA NA
"218" "Vietnam" "Dak Nong" 2017 45 43 "K13" 2017 2 0 0.955555555555556 NA 3.06805293513362
"219" "Vietnam" "Dak Nong" 2018 25 25 "K13" 2017 2 1 1 NA NA
"220" "Vietnam" "Gia Lai" 2015 34 25 "K13" 2015 4 0 0.735294117647059 6.61764705882353 1.02165124753198
"221" "Vietnam" "Gia Lai" 2016 5 4 "K13" 2015 4 1 0.8 0.8 1.38629436111989
"222" "Vietnam" "Gia Lai" 2017 181 117 "K13" 2015 4 2 0.646408839779006 41.3701657458564 0.603290851438084
"223" "Vietnam" "Gia Lai" 2018 110 94 "K13" 2015 4 3 0.854545454545454 13.6727272727273 1.77070606003022
"224" "Vietnam" "Khanh Hoa" 2014 21 13 "K13" 2014 2 0 0.619047619047619 NA 0.485507815781701
"225" "Vietnam" "Khanh Hoa" 2017 17 9 "K13" 2014 2 3 0.529411764705882 NA 0.117783035656383
"226" "Vietnam" "Ninh Thuan" 2003 2 0 "K13" 2012 1 -9 0 NA NA
"227" "Vietnam" "Ninh Thuan" 2012 17 1 "K13" 2012 1 0 0.0588235294117647 NA -2.77258872223978
"228" "Vietnam" "Ninh Thuan" 2017 11 0 "K13" 2012 1 5 0 NA NA
"229" "Vietnam" "Quang Nam" 2012 68 60 "K13" 2012 2 0 0.882352941176471 NA 2.01490302054226
"230" "Vietnam" "Quang Nam" 2013 3 1 "K13" 2012 2 1 0.333333333333333 NA -0.693147180559945
"231" "Vietnam" "Quang Tri" 2010 6 1 "K13" 2010 2 0 0.166666666666667 NA -1.6094379124341
"232" "Vietnam" "Quang Tri" 2017 22 9 "K13" 2010 2 7 0.409090909090909 NA -0.367724780125317
"233" "Cambodia" "Battambang" 2008 20 3 "R539T" 2008 1 0 0.15 NA -1.73460105538811
"234" "Cambodia" "Battambang" 2009 31 0 "R539T" 2008 1 1 0 NA NA
"235" "Cambodia" "Pailin" 2007 3 1 "R539T" 2007 5 0 0.333333333333333 0.666666666666667 -0.693147180559945
"236" "Cambodia" "Pailin" 2008 24 5 "R539T" 2007 5 1 0.208333333333333 3.95833333333333 -1.33500106673234
"237" "Cambodia" "Pailin" 2009 13 2 "R539T" 2007 5 2 0.153846153846154 1.69230769230769 -1.70474809223843
"238" "Cambodia" "Pailin" 2010 10 1 "R539T" 2007 5 3 0.1 0.9 -2.19722457733622
"239" "Cambodia" "Pailin" 2011 49 5 "R539T" 2007 5 4 0.102040816326531 4.48979591836735 -2.17475172148416
"240" "Cambodia" "Pailin" 2012 31 0 "R539T" 2007 5 5 0 NA NA
"241" "Cambodia" "Pailin" 2015 15 0 "R539T" 2007 5 8 0 NA NA
"242" "Cambodia" "Pailin" 2016 22 0 "R539T" 2007 5 9 0 NA NA
"243" "Cambodia" "Pailin" 2017 24 0 "R539T" 2007 5 10 0 NA NA
"244" "Cambodia" "Preah Vihear" 2011 73 2 "R539T" 2011 1 0 0.0273972602739726 NA -3.56953269648137
"245" "Cambodia" "Preah Vihear" 2012 41 0 "R539T" 2011 1 1 0 NA NA
"246" "Cambodia" "Preah Vihear" 2013 20 0 "R539T" 2011 1 2 0 NA NA
"247" "Cambodia" "Preah Vihear" 2014 7 0 "R539T" 2011 1 3 0 NA NA
"248" "Cambodia" "Preah Vihear" 2015 3 0 "R539T" 2011 1 4 0 NA NA
"249" "Cambodia" "Preah Vihear" 2016 5 0 "R539T" 2011 1 5 0 NA NA
"250" "Cambodia" "Pursat" 2007 26 1 "R539T" 2007 5 0 0.0384615384615385 0.961538461538461 -3.2188758248682
"251" "Cambodia" "Pursat" 2009 19 1 "R539T" 2007 5 2 0.0526315789473684 0.947368421052631 -2.89037175789616
"252" "Cambodia" "Pursat" 2010 107 5 "R539T" 2007 5 3 0.0467289719626168 4.76635514018692 -3.01553490085017
